facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
Cc6B95,Day-Payne,Health Centre,0.0,St Joseph,06/01/23,June 22 2024,-58.91812;13.04085,Good
053,Turner-And-Sons,Polyclinic 🏥,0.0,St. James,2023-03-28,20250730,13°15′17″N 58°51′40″W,Good
054,"Thomas-Rogers Clinic
Newline",Unknown,0.0,Christ Church,January 30 2021,10 Jul 2022,Point(-58.91888 13.24203),Good
054,"Thomas-Rogers Clin.
Newline",Unknown,0.0,Christ Church,January 30 2021,10 Jul 2022,Point(-58.91888 13.24203),Good
#55,Thompson-Macias Hosp.,Unknown,0.0,St. George,04 May 2016,03/11/21,-59.03403;12.79026,-
#56,"Webb,-King-And-Logan©",Clinic🌡️,0.0,St. Michael,20171205,19-03-18,"12.73912, -59.05921",Reinspection Due
057,Taylor-Welch 🏥 (St.),Clinic,0.0,St. Peter,January 09 2024,2022-03-03,13°11′17″N 59°13′59″W,Nan
A6886A,Walton-Hensley,Hosp.,0.0,St.Lucy,03/05/22,2018-01-18,"13.24493, -59.10481",-
059,Luna Llc Health Centre,Community Health Ctr.,0.0,St.Michael,2024-02-02,January 22 2025,"12.99003, -59.21087",♥
060,Salazar Llc 🏥💊,Health Ctr.,0.0,St.Joseph,30-11-25,22/02/19,,Nan
#61,Mccarty-Atkins Infirmary,Hospital,0.0,St. James,11-08-24,February 12 2022,,Nan
062,Stevenson-Powell Hospital (St.),Unknown,0.0,St. Andrew,20180510,09 May 2021,Point(-59.27002 13.11210),♥
062,Stevenson-Powell Hosp. (St.),Unknown,0.0,St. Andrew,20180510,09 May 2021,Point(-59.27002 13.11210),♥
Nan,Perry Inc (St),Chc,0.0,St Lucy,06/11/21,January 19 2024,13°4′46″N 59°8′8″W,-
6B470A,Brown-Harrison (St.),Polyclinic 🏥,0.0,St. Joseph,16 Oct 2019,18 Jun 2020,-59.11447;13.02715,Nan
Nan,Craig-Mitchell Hosp. (St.Peter),Unknown,0.0,St.Peter,20190508,27 Jul 2025,,Nan
066,Nelson-Long Hosp. (Christ),Hosp.,0.0,Christ Church Parish,01 Apr 2017,20180521,-58.71194;13.01829,-
Nan,Williams Group Hospital,Community Health Ctr.,422.0,Hpesoj .Ts,20190805,20 Sep 2025,Point(-59.20678 12.84610),Follow-Up 2023
Nan,Williams Group Hosp.,Community Health Ctr.,422.0,Hpesoj .Ts,20190805,20 Sep 2025,Point(-59.20678 12.84610),Follow-Up 2023
Nan,"Davis,-Hernandez-And-Simon Infirmary",Community Health Centre,0.0,St. Andrew,20190913,28-07-22,"-58.72388, 12.88048",Nan
070,Wiggins-Rivas Medical Center (St.)💊,Health Ctr.,0.0,St. Lucy,March 05 2025,20230511,"-58.82087, 13.26942",
071,"Barnes-Mccarty
Newline",Unknown,0.0,Semaj .Ts,February 04 2023,09 Oct 2021,,-
#72,Jimenez-Rodgers Hospital,Hosp.,0.0,Christ Church Parish,12/01/22,19-07-23,-58.89774;12.70043,Nan
#73,Chambers-Hickman (St.John),Clinic,0.0,St.John,March 22 2016,20240709,,-
Hf-0074,Lindsey-Li 🏥 (St),Clinic,0.0,St Peter,21-11-25,March 23 2019,"13.19106, -58.83552",Reinspection Due
075,Kim Inc Clinic,Unknown,0.0,Christ Church Parish,09/04/17,02/02/18,Point(-59.13231 13.11191),Reinspection Due
076,Davis-Salazar Medical Center (St.),Clinic🌡️,0.0,St. Andrew,18/01/24,2024-07-28,,Nan
00077,Fields-Sloan Medical Center,Polyclinic,0.0,St Michael,30/07/21,August 14 2020,-58.70963;12.85988,Needs Upgrade
E2B345,"Malone, Jones And Robbins Infirmary",Community Health Centre,0.0,Leahcim .Ts,08-08-23,02-11-20,"-59.03151, 12.96314",Reinspection Due
Nan,"Cox,-Washington-And-Blair (St.)",Community Health Centre,0.0,St. James,27/11/17,2021-12-28,-59.22164;12.83182,Reinspection Due
Nan,"Lawrence-Nguyen Medical Center (Christ)
Newline",Polyclinic 🏥,0.0,Christ Church,20-12-25,21/10/25,"-58.76112, 13.26527",Nan
Nan,"Sellers, Gibson And Klein Polyclinic (Nhoj)",Health Centre,0.0,Nhoj .Ts,24-03-21,05 Mar 2023,,Nan
082,Green-Gill Polyclinic,Health Ctr.,0.0,Christ Church,May 06 2020,24 May 2022,,Follow-Up 2023
083,"Williams, Schwartz And Bishop Hospital (Werdna)",Unknown,0.0,Werdna .Ts,23/08/22,10-04-24,"-59.27525, 12.94418",Nan
083,"Williams, Schwartz And Bishop Hosp. (Werdna)",Unknown,0.0,Werdna .Ts,23/08/22,10-04-24,"-59.27525, 12.94418",Nan
Nan,Williams-Inc Health Centre (St.),Unknown,0.0,St. Michael,June 01 2024,September 03 2023,"13.03765, -58.84780",Needs Upgrade
Nan,Solis Plc 🏥,Clinic🌡️,0.0,St. James,03-06-17,May 09 2018,-58.86853;13.25454,
#86,Hill-Camacho Health Centre,Clinic,0.0,St. Joseph Parish,May 22 2021,05-06-25,"-58.98870, 12.99454",Nan
Nan,"Williams, Sanders And Turner Health Centre",Health Ctr.,0.0,St.John,2019-07-31,20240925,"-58.98132, 12.88486",Follow-Up 2023
Nan,Liu-Perez 🏥,Health Ctr.,0.0,St. Andrew Parish,16/08/16,03/02/18,,Reinspection Due
#89,Snyder-Morales Medical Center (St.),Clinic🌡️,0.0,St. Joseph,03/11/21,26-12-18,12°44′40″N 59°6′27″W,Good
Nan,Garcia Llc Hosp. (St.Michael),Community Health Centre,0.0,St.Michael,June 09 2018,30 Sep 2025,13°11′7″N 59°6′51″W,Good
Hf-0091,"Pineda Group
Newline",Hosp.,0.0,Christ Church Parish,2019-02-19,15/05/24,,Nan
Nan,Cole-Inc Hospital (St.)💊,Polyclinic 🏥,0.0,St. Joseph,13 Dec 2019,2020-09-30,"-58.86443, 13.15694",♥
0Ca67E,Anderson-Stokes,Chc,0.0,St. Michael Parish,20250713,02 Apr 2021,12°56′25″N 58°54′48″W,Nan
#94,Fox Ltd (St.),Clinic,0.0,St. Peter,06 May 2016,20211006,"12.95493, -59.11045",Needs Upgrade
095,"Ray, Smith And Turner Hosp. (St.)",Community Health Centre,0.0,St. Lucy,20160605,10 Jan 2021,"13.07508, -58.70656",Good
D72C1E,Cruz Ltd Health Centre (St.),Community Health Ctr.,0.0,St. Joseph,27-12-24,13 Jun 2021,Point(-58.70674 13.06407),Follow-Up 2023
Nan,"Kelly, Cervantes And Salinas",Chc,0.0,St. George,03 Dec 2016,19/09/19,"12.70497, -59.19715",Follow-Up 2023
427288,"Johnson, Miller And Flores 🏥 (St.)",Polyclinic 🏥,0.0,St. Michael,28 Jul 2020,20200311,"13.23448, -59.04058",Follow-Up 2023
Hf-0099,Gallegos Plc (Christ),Hospital,0.0,Christ Church,06/07/17,2025-06-19,"-59.14330, 13.22849",Good
Hf-0100,Daniels-Murphy 🏥,Community Health Ctr.,0.0,St. James,2022-12-14,2023-05-28,,♥
8C3Ae9,Clark-Flynn©,Clinic,0.0,St. John Parish,20190421,27/08/21,"-59.11628, 13.22592",Nan
102,Harris-Esparza (Christchurch),Community Health Ctr.,488.0,Christchurch,20250730,07 Oct 2021,,♥
00103,Gray-Turner Clinic (St.),Health Centre,0.0,St. Michael,December 16 2024,11-08-21,,-
104,George Ltd Clinic (St)©,Community Health Centre,0.0,St Andrew,May 24 2018,2024-08-11,"-58.87857, 13.05713",Reinspection Due
Hf-0105,Green-Manning Health Centre,Hosp.,0.0,Christ Church,08-08-19,28-08-24,Point(-58.98327 12.71436),Follow-Up 2023
Nan,Levy-Rogers Infirmary (St.),Chc,0.0,St. Michael,25-10-16,November 15 2022,,Nan
#107,Mcbride Llc Clinic (St.),Clinic🌡️,101.0,St. Andrew,17-08-20,2019-06-03,12°47′21″N 59°4′33″W,Nan
Nan,"Hansen, Serrano And Ramirez Health Centre (St)©",Community Health Ctr.,0.0,St James,10-12-21,20180819,13°0′28″N 59°7′38″W,Nan
109,Camacho-Cross Hosp.,Unknown,0.0,St. Lucy,2025-07-01,20190523,Point(-58.97269 12.85044),Good
110,"Walker, Ortiz And Hansen Hosp. (St)",Clinic🌡️,0.0,St John,2017-08-13,2020-07-20,-58.80099;13.14742,Nan
#111,Hardy-Contreras (St.),Health Ctr.,0.0,St. Peter,14-12-20,20211003,13°16′51″N 59°7′53″W,Good
2D8089,"Richardson,-Morales-And-Terry Health Centre",Health Ctr.,0.0,St. James,2024-08-17,20191216,13°1′1″N 58°59′37″W,Nan
00113,Miller-Shelton Infirmary (Hpesoj),Clinic🌡️,0.0,Hpesoj .Ts,2020-03-15,22 Feb 2019,12°59′6″N 59°1′9″W,Nan
00114,"Walsh,-Garcia-And-Knox 🏥",Clinic,314.0,St. James,30 Apr 2017,08-06-24,"13.12108, -58.78480",Reinspection Due
00115,Mcdaniel Inc Health Centre,Polyclinic,0.0,St. James,May 23 2023,20221010,"-59.02809, 13.03301",-
Hf-0116,Harrison-White (St.),Health Centre,0.0,St. John,14/08/22,2021-03-24,"-59.21310, 12.73681",Needs Upgrade
Hf-0117,Adams-Curry Hosp.,Unknown,0.0,St Michael,October 22 2018,October 13 2024,"13.09176, -59.19394",
Hf-0118,Brady Plc,Hosp.,0.0,St. Michael,February 19 2021,31-03-19,"13.06796, -58.97284",
00119,Smith-Lloyd Medical Center (St.),Unknown,0.0,St. James,10-07-21,24 Feb 2019,-59.09180;12.82763,Good
00120,"Perez, Hopkins And Smith 🏥",Polyclinic,0.0,St.John,January 18 2017,24-04-24,Point(-59.22920 13.09093),Nan
Nan,"Erickson,-King-And-Mack Hospital (St.George)",Chc,0.0,St.George,20200725,12/06/21,12°52′16″N 59°10′29″W,Follow-Up 2023
Nan,"Erickson,-King-And-Mack Hosp. (St.George)",Chc,0.0,St.George,20200725,12/06/21,12°52′16″N 59°10′29″W,Follow-Up 2023
#122,"Hayes,-Brown-And-Hood Polyclinic",Unknown,0.0,St. John,10/05/20,15/02/25,Point(-59.14294 12.99770),Follow-Up 2023
#123,Stewart-Webb 🏥 (Christ),Health Centre,0.0,Christ Church,2018-11-16,13/10/19,13°14′24″N 59°15′8″W,Good
124,Fowler-Wright Infirmary (St.),Chc,0.0,St. Peter,2025-06-09,2018-05-25,13°2′53″N 58°48′3″W,Reinspection Due
125,"Anderson, Wagner And Williams Hospital",Clinic,0.0,St.James,29 Aug 2020,2019-06-28,13°1′20″N 58°50′36″W,
Hf-0126,Moore-Brown Clinic (Christ),Polyclinic,0.0,Christ Church,31/10/20,20191221,-58.89934;13.13815,
Hf-0126,Moore-Brown Clin. (Christ),Polyclinic,0.0,Christ Church,31/10/20,20191221,-58.89934;13.13815,
Af7B16,"Taylor, Cabrera And Swanson Clinic",Health Centre,0.0,St. John Parish,19 May 2021,16-02-20,,Good
307989,Snyder-Moore,Unknown,0.0,St. John,20210623,January 28 2025,13°5′46″N 59°11′20″W,♥
129,Swanson-Ltd Hosp. (St),Hosp.,0.0,St Peter,2024-11-30,20241002,"13.00962, -59.27337",♥
Nan,"Gregory, Miller And Watkins Health Centre (St.)",Hosp.,0.0,St. Peter,18 Jun 2019,15-06-24,"12.97566, -58.97619",
Hf-0131,Clements-Plc Hospital,Clinic,56.0,St. Lucy,December 17 2016,14-03-20,12°57′56″N 59°2′14″W,Nan
Hf-0131,Clements-Plc Hosp.,Clinic,56.0,St. Lucy,December 17 2016,14-03-20,12°57′56″N 59°2′14″W,Nan
#132,Peterson Plc Clinic,Health Centre,0.0,Egroeg .Ts,June 07 2023,07-04-21,Point(-59.17851 13.20252),Needs Upgrade
00133,Woods-Ltd,Health Centre,0.0,St.John,20230822,27-03-19,13°11′5″N 59°8′5″W,Nan
134,Kerr-Vincent,Chc,0.0,St. George,07 Dec 2020,June 19 2025,"-58.81630, 12.90485",Reinspection Due
Nan,Brown-Lucas Clinic,Polyclinic,0.0,St. James,December 23 2018,December 08 2018,-58.84414;12.90411,Reinspection Due
A6E6A5,Gutierrez-Lawson Polyclinic (St),Hosp.,0.0,St Lucy,20220407,20220830,"-58.94292, 12.99588",
Hf-0137,"Garcia, Eaton And Hooper Hosp.",Clinic🌡️,0.0,St. Andrew,January 11 2021,30-07-21,12°45′5″N 58°59′55″W,Reinspection Due
Nan,Murphy-Wolfe Infirmary (St.)✨,Community Health Centre,0.0,St. Lucy,2021-04-25,12/11/21,,Needs Upgrade
Nan,Thompson-Baker,Unknown,151.0,St. Michael Parish,20230210,20230406,13°7′27″N 59°14′54″W,♥
6Df688,Good-Bailey Medical Center (St.),Polyclinic,0.0,St. John,28/06/19,June 07 2025,"12.77955, -59.19385",Follow-Up 2023
A22848,Mercado And Sons (St.John),Polyclinic,0.0,St.John,20181101,11-11-21,,Reinspection Due
F22C91,"Bowen, Curry And Neal Hospital",Clinic🌡️,0.0,St. Michael Parish,10 Dec 2025,October 18 2021,Point(-58.79109 13.21132),-
143,Parker-Inc Clinic,Community Health Centre,0.0,Hcruhc Tsirhc,20160202,March 23 2022,Point(-58.79975 12.96476),Follow-Up 2023
0D5Aae,Curtis Inc Medical Center,Unknown,0.0,St. Peter Parish,24/12/23,October 06 2023,-58.83137;13.29130,-
Hf-0145,"Arnold, White And Barrett Clinic (Semaj)",Health Centre,0.0,Semaj .Ts,20250831,2019-03-18,,Nan
146,Ward-Hudson Hospital,Health Centre,0.0,St. Lucy,2017-07-03,20181005,Point(-58.77636 12.81417),-
Nan,Patterson And Sons Hosp.,Health Centre,0.0,St. John,20250716,2018-03-11,"-59.02995, 12.90651",Nan
148,"Mccarthy,-Andersen-And-Jones",Chc,0.0,St George,19/11/22,01-07-24,13°0′11″N 59°7′1″W,Good
#149,Bell-And-Sons Infirmary,Unknown,0.0,St. Joseph,07 Feb 2022,20230624,-58.96930;13.08021,-
00150,"Hancock, Sanchez And Lin Health Centre (St.)",Community Health Ctr.,0.0,St. Michael,July 06 2020,22/06/24,Point(-58.77626 12.73962),Follow-Up 2023
Nan,Gordon-Lozano Infirmary,Chc,0.0,St. Michael,November 15 2016,October 22 2019,12°50′37″N 59°13′32″W,Reinspection Due
Nan,"Davis,-Carter-And-Johnson Hospital",Unknown,0.0,Semaj .Ts,May 24 2020,32/13/99,Point(-59.00715 12.80279),-
Nan,Wilkins-Inc 🏥 (Christchurch),Community Health Centre,0.0,Christchurch,2020-08-26,11/03/22,Point(-59.07413 12.78907),-
Nan,Hall-Cox Hospital,Community Health Ctr.,0.0,Christ Church Parish,August 17 2024,2020-10-05,-58.97179;12.73379,Nan
#155,Graves And Sons,Health Centre,0.0,St. Michael,05-12-23,08/11/20,"-58.79872, 13.29619",♥
Nan,Freeman-Newton,Clinic🌡️,0.0,St.Peter,14/12/16,07/07/24,Point(-59.05694 12.94787),Nan
Hf-0157,Cisneros And Sons Medical Center,Community Health Ctr.,0.0,St. Peter,10/09/20,2019-10-25,"13.07899, -58.84994",Nan
#158,Lewis-Hernandez (St.),Health Ctr.,0.0,St. Lucy,October 17 2017,17 May 2022,-58.99437;12.80165,Reinspection Due
Hf-0159,"Harris, Martin And Hayden Health Centre (Egroeg)",Unknown,191.0,Egroeg .Ts,07 Apr 2025,November 25 2020,"-59.00318, 12.97798",Nan
Hf-0160,Hernandez-Green Hospital (Hpesoj),Polyclinic,0.0,Hpesoj .Ts,March 18 2024,02/09/18,Point(-58.91908 13.19163),
Hf-0161,Ingram-Thomas Clinic (St.Joseph),Clinic,0.0,St.Joseph,July 05 2020,25-01-25,"13.08661, -59.14029",Nan
#162,Cooper-Gardner Medical Center,Hosp.,0.0,St. Joseph,24/10/17,20210328,Point(-58.89165 12.75936),Follow-Up 2023
00163,Walker Plc,Community Health Centre,0.0,Christchurch,04/01/18,19-10-24,,Good
164,Nash Inc Health Centre,Clinic🌡️,0.0,Christchurch,20-01-17,05-01-20,13°9′51″N 59°17′16″W,Nan
00165,"Jones, Allen And Powell Clinic (St.)💊",Polyclinic 🏥,235.0,St. George Parish,June 24 2021,17-07-23,"12.70265, -59.15354",Nan
Nan,Bishop-Phelps (St.),Clinic🌡️,0.0,St. James,01 Apr 2020,20190704,13°2′26″N 59°9′37″W,Nan
167,Fields-Johnson Medical Center,Health Ctr.,0.0,St Lucy,06 Jun 2021,10/09/20,Point(-58.75518 12.82892),-
00168,Anderson Llc Polyclinic (St.),Hosp.,0.0,St. Michael,23/07/23,11-03-25,Point(-59.18973 13.29045),-
Nan,Allison Plc 🏥 (St.George),Polyclinic 🏥,20.0,St.George,07-11-23,25 Aug 2020,12°54′36″N 58°46′47″W,Nan
Nan,Patrick Plc Health Centre,Chc,0.0,St George,32/13/99,14 Dec 2020,13°2′14″N 59°5′18″W,♥
00171,Khan-Jones 🏥,Community Health Ctr.,0.0,Christchurch,06 Apr 2023,27/03/23,,Nan
Nan,"Johnson, Burke And Edwards Health Centre (St.)",Clinic,0.0,St. Peter Parish,23/08/21,May 12 2019,,Needs Upgrade
Nan,Nicholson-Little Hosp. (St.Lucy)💊,Community Health Ctr.,0.0,St.Lucy,24 Nov 2020,2025-11-25,,Follow-Up 2023
00174,Peterson Inc©,Hospital,0.0,St. George,2025-04-13,20220703,13°13′53″N 59°8′53″W,♥
Hf-0175,Singh-Inc,Polyclinic,0.0,St. Andrew Parish,32/13/99,03/06/22,Point(-58.82049 12.90014),Good
Nan,"Young, Dunlap And Mata 🏥",Community Health Centre,0.0,St John,20220911,14-07-21,12°50′0″N 59°7′3″W,-
177,"Rivera,-Walker-And-Alexander (St.)",Health Ctr.,0.0,St. John,21/01/23,21 Oct 2024,"13.08860, -59.17347",Nan
E09941,"Nelson, Hill And Odonnell",Clinic🌡️,0.0,St George,2025-11-09,August 24 2022,-59.29135;13.11993,Nan
Nan,Williams Ltd 🏥 (St.),Community Health Centre,0.0,St. Michael,22 Nov 2017,11-01-20,-58.77257;12.90949,Nan
180,Washington Inc Health Centre (St),Unknown,0.0,St George,05 May 2018,18 Oct 2023,12°43′39″N 59°15′37″W,Nan
Hf-0181,Walker-Oneal Hospital (Christchurch)💊,Community Health Ctr.,0.0,Christchurch,12-12-25,18 Nov 2022,Point(-58.84277 13.07029),-
182,Zamora-Ltd (St.),Hosp.,0.0,St. George,May 05 2020,20180625,-58.76495;13.26066,Nan
00183,"Butler, Ramos And Anderson 🏥 (St.)💊",Polyclinic,0.0,St. Andrew,11-06-24,32/13/99,12°54′43″N 59°7′45″W,♥
Nan,"Wallace, Perry And Gonzales Infirmary (Semaj)",Unknown,0.0,Semaj .Ts,13 Jul 2017,10/03/20,,Reinspection Due
8232Bf,Wolfe Ltd Polyclinic,Community Health Ctr.,0.0,St. Andrew,20210824,05-11-19,Point(-58.75046 12.80114),Follow-Up 2023
186,Medina-And-Sons Hospital (Christ),Unknown,0.0,Christ Church,23 Jun 2019,20200807,,-
Hf-0187,Rhodes And Sons (St.),Hosp.,0.0,St. Lucy,2023-09-15,06-09-23,-58.75448;13.13166,Needs Upgrade
Hf-0188,Myers Inc Medical Center,Unknown,0.0,St. Peter,19-12-20,December 25 2023,"-58.70913, 13.00881",-
Nan,Horne-Baker Medical Center,Polyclinic,0.0,St.John,10 Aug 2021,21 Oct 2018,Point(-59.18170 13.29643),-
Nan,"Jimenez, Mullins And Hamilton Hospital",Unknown,0.0,St.Michael,April 19 2017,20180409,"13.09865, -59.21086",♥
3E22Ac,"King-Smith Infirmary
Newline",Unknown,0.0,St. Peter,2020-07-03,31-05-25,,Nan
Hf-0192,"Barnett, Lee And Malone Hosp. (St.)",Hospital,0.0,St. Andrew,20250716,2020-03-26,"-59.23382, 13.15991",
Nan,"Cohen, Phillips And Powell Clinic (St.)",Unknown,0.0,St. Joseph,01 Oct 2019,20250814,12°48′16″N 58°53′50″W,Nan
22Fe4E,"Conrad,-Clark-And-Wong 🏥",Clinic🌡️,0.0,St. John,20160901,31/05/18,-58.76118;12.98474,
00195,"Jackson, Lynn And Jones Infirmary",Health Ctr.,0.0,St Michael,2022-08-04,05 Sep 2023,12°42′34″N 59°9′1″W,Nan
Nan,Johnson-Martinez 🏥 (St.),Polyclinic,131.0,St. Peter,21-03-18,2025-03-10,Point(-59.28849 12.73095),Needs Upgrade
197,Reed Group (St.)✨,Health Centre,0.0,St. George,20210809,2018-12-17,"13.19605, -58.95608",Good
0E7646,"Lewis,-Hill-And-Love",Community Health Ctr.,0.0,St Michael,29/01/21,2021-06-30,"-58.72898, 13.08813",Good
